LOCAL ID,DIRECTION,MONTH,DOW,DATE,TIME,VOLUME
320000009,EB,1,6,1/5/24,7:00 AM,3046
320000009,EB,1,6,1/5/24,8:00 AM,3100
320000009,EB,1,6,1/5/24,9:00 AM,3136
320000009,EB,1,6,1/5/24,10:00 AM,3328
320000009,EB,1,6,1/5/24,11:00 AM,3119
320000009,EB,1,6,1/5/24,12:00 PM,3527
320000009,EB,1,6,1/5/24,1:00 PM,3935
320000009,EB,1,6,1/5/24,2:00 PM,4353
320000009,EB,1,6,1/5/24,3:00 PM,4419
320000009,EB,1,6,1/5/24,4:00 PM,4503
320000009,EB,1,6,1/5/24,5:00 PM,4171
320000009,EB,1,6,1/5/24,6:00 PM,3632
320000009,EB,1,6,1/5/24,7:00 PM,2872
320000009,EB,1,6,1/5/24,8:00 PM,2404
320000009,EB,1,6,1/5/24,9:00 PM,1967
320000009,EB,1,6,1/5/24,10:00 PM,1518
320000009,EB,1,6,1/5/24,11:00 PM,1002
320000009,EB,1,7,1/6/24,12:00 AM,645
320000009,EB,1,7,1/6/24,1:00 AM,376
320000009,EB,1,7,1/6/24,2:00 AM,355
320000009,EB,1,7,1/6/24,3:00 AM,382
320000009,EB,1,7,1/6/24,4:00 AM,475
320000009,EB,1,7,1/6/24,5:00 AM,634
320000009,EB,1,7,1/6/24,6:00 AM,924
320000009,EB,1,7,1/6/24,7:00 AM,1403
320000009,EB,1,7,1/6/24,8:00 AM,1700
320000009,EB,1,7,1/6/24,9:00 AM,2118
320000009,EB,1,7,1/6/24,10:00 AM,2759
320000009,EB,1,7,1/6/24,11:00 AM,3144
320000009,EB,1,7,1/6/24,12:00 PM,3631
320000009,EB,1,7,1/6/24,1:00 PM,3632
320000009,EB,1,7,1/6/24,2:00 PM,3661
320000009,EB,1,7,1/6/24,3:00 PM,3651
320000009,EB,1,7,1/6/24,4:00 PM,3597
320000009,EB,1,7,1/6/24,5:00 PM,3428
320000009,EB,1,7,1/6/24,6:00 PM,3316
320000009,EB,1,7,1/6/24,7:00 PM,2532
320000009,EB,1,7,1/6/24,8:00 PM,2050
320000009,EB,1,7,1/6/24,9:00 PM,1771
320000009,EB,1,7,1/6/24,10:00 PM,1313
320000009,EB,1,7,1/6/24,11:00 PM,915
320000009,EB,1,1,1/7/24,12:00 AM,638
320000009,EB,1,1,1/7/24,1:00 AM,356
320000009,EB,1,1,1/7/24,2:00 AM,295
320000009,EB,1,1,1/7/24,3:00 AM,242
320000009,EB,1,1,1/7/24,4:00 AM,300
320000009,EB,1,1,1/7/24,5:00 AM,501
320000009,EB,1,1,1/7/24,6:00 AM,597
320000009,EB,1,1,1/7/24,7:00 AM,885
320000009,EB,1,1,1/7/24,8:00 AM,1308
320000009,EB,1,1,1/7/24,9:00 AM,2053
320000009,EB,1,1,1/7/24,10:00 AM,2701
320000009,EB,1,1,1/7/24,11:00 AM,3167
320000009,EB,1,1,1/7/24,12:00 PM,3877
320000009,EB,1,1,1/7/24,1:00 PM,4021
320000009,EB,1,1,1/7/24,2:00 PM,4131
320000009,EB,1,1,1/7/24,3:00 PM,4246
320000009,EB,1,1,1/7/24,4:00 PM,4166
320000009,EB,1,1,1/7/24,5:00 PM,3946
320000009,EB,1,1,1/7/24,6:00 PM,3460
320000009,EB,1,1,1/7/24,7:00 PM,2789
320000009,EB,1,1,1/7/24,8:00 PM,2075
320000009,EB,1,1,1/7/24,9:00 PM,1553
320000009,EB,1,1,1/7/24,10:00 PM,1044
320000009,EB,1,1,1/7/24,11:00 PM,759
320000009,EB,1,2,1/8/24,12:00 AM,444
320000009,EB,1,2,1/8/24,1:00 AM,334
320000009,EB,1,2,1/8/24,2:00 AM,247
320000009,EB,1,2,1/8/24,3:00 AM,390
320000009,EB,1,2,1/8/24,4:00 AM,682
320000009,EB,1,2,1/8/24,5:00 AM,1312
320000009,EB,1,2,1/8/24,6:00 AM,2665
320000009,EB,1,2,1/8/24,7:00 AM,3904
320000009,EB,1,2,1/8/24,8:00 AM,3480
320000009,EB,1,2,1/8/24,9:00 AM,3641
320000009,EB,1,2,1/8/24,10:00 AM,3151
320000009,EB,1,2,1/8/24,11:00 AM,3435
320000009,EB,1,2,1/8/24,12:00 PM,3520
320000009,EB,1,2,1/8/24,1:00 PM,3639
320000009,EB,1,2,1/8/24,2:00 PM,3861
320000009,EB,1,2,1/8/24,3:00 PM,4212
320000009,EB,1,2,1/8/24,4:00 PM,4317
320000009,EB,1,2,1/8/24,5:00 PM,3978
320000009,EB,1,2,1/8/24,6:00 PM,3143
320000009,EB,1,2,1/8/24,7:00 PM,2532
320000009,EB,1,2,1/8/24,8:00 PM,1827
320000009,EB,1,2,1/8/24,9:00 PM,1500
320000009,EB,1,2,1/8/24,10:00 PM,1098
320000009,EB,1,2,1/8/24,11:00 PM,803
320000009,EB,1,3,1/9/24,12:00 AM,528
320000009,EB,1,3,1/9/24,1:00 AM,358
320000009,EB,1,3,1/9/24,2:00 AM,295
320000009,EB,1,3,1/9/24,3:00 AM,405
320000009,EB,1,3,1/9/24,4:00 AM,637
320000009,EB,1,3,1/9/24,5:00 AM,1175
320000009,EB,1,3,1/9/24,6:00 AM,2525
320000009,EB,1,3,1/9/24,7:00 AM,3898
320000009,EB,1,3,1/9/24,8:00 AM,3832
320000009,EB,1,3,1/9/24,9:00 AM,3113
320000009,EB,1,3,1/9/24,10:00 AM,2930
320000009,EB,1,3,1/9/24,11:00 AM,3087
320000009,EB,1,3,1/9/24,12:00 PM,3479
320000009,EB,1,3,1/9/24,1:00 PM,3531
320000009,EB,1,3,1/9/24,2:00 PM,3154
320000009,EB,1,3,1/9/24,3:00 PM,2966
320000009,EB,1,3,1/9/24,4:00 PM,2995
320000009,EB,1,3,1/9/24,5:00 PM,2312
320000009,EB,1,3,1/9/24,6:00 PM,1978
320000009,EB,1,3,1/9/24,7:00 PM,1631
320000009,EB,1,3,1/9/24,8:00 PM,1295
320000009,EB,1,3,1/9/24,9:00 PM,1088
320000009,EB,1,3,1/9/24,10:00 PM,833
320000009,EB,1,3,1/9/24,11:00 PM,635
320000009,EB,1,4,1/10/24,12:00 AM,452
320000009,EB,1,4,1/10/24,1:00 AM,341
320000009,EB,1,4,1/10/24,2:00 AM,360
320000009,EB,1,4,1/10/24,3:00 AM,462
320000009,EB,1,4,1/10/24,4:00 AM,600
320000009,EB,1,4,1/10/24,5:00 AM,1282
320000009,EB,1,4,1/10/24,6:00 AM,2672
320000009,EB,1,4,1/10/24,7:00 AM,3663
320000009,EB,1,4,1/10/24,8:00 AM,4082
320000009,EB,1,4,1/10/24,9:00 AM,3680
320000009,EB,1,4,1/10/24,10:00 AM,3388
320000009,EB,1,4,1/10/24,11:00 AM,3430
320000009,EB,1,4,1/10/24,12:00 PM,3583
320000009,EB,1,4,1/10/24,1:00 PM,3592
320000009,EB,1,4,1/10/24,2:00 PM,3886
320000009,EB,1,4,1/10/24,3:00 PM,4130
320000009,EB,1,4,1/10/24,4:00 PM,4445
320000009,EB,1,4,1/10/24,5:00 PM,4121
320000009,EB,1,4,1/10/24,6:00 PM,3515
320000009,EB,1,4,1/10/24,7:00 PM,2552
320000009,EB,1,4,1/10/24,8:00 PM,1946
320000009,EB,1,4,1/10/24,9:00 PM,1486
320000009,EB,1,4,1/10/24,10:00 PM,1044
320000009,EB,1,4,1/10/24,11:00 PM,738
320000009,EB,1,5,1/11/24,12:00 AM,423
320000009,EB,1,5,1/11/24,1:00 AM,354
320000009,EB,1,5,1/11/24,2:00 AM,280
320000009,EB,1,5,1/11/24,3:00 AM,434
320000009,EB,1,5,1/11/24,4:00 AM,667
320000009,EB,1,5,1/11/24,5:00 AM,1190
320000009,EB,1,5,1/11/24,6:00 AM,2562
320000009,EB,1,5,1/11/24,7:00 AM,3573
320000009,EB,1,5,1/11/24,8:00 AM,3477
320000009,EB,1,5,1/11/24,9:00 AM,3638
320000009,EB,1,5,1/11/24,10:00 AM,3278
320000009,EB,1,5,1/11/24,11:00 AM,3580
320000009,EB,1,5,1/11/24,12:00 PM,3634
320000009,EB,1,5,1/11/24,1:00 PM,3662
320000009,EB,1,5,1/11/24,2:00 PM,4005
320000009,EB,1,5,1/11/24,3:00 PM,4199
320000009,EB,1,5,1/11/24,4:00 PM,4511
320000009,EB,1,5,1/11/24,5:00 PM,4230
320000009,EB,1,5,1/11/24,6:00 PM,3416
320000009,EB,1,5,1/11/24,7:00 PM,2716
320000009,EB,1,5,1/11/24,8:00 PM,2063
320000009,EB,1,5,1/11/24,9:00 PM,1646
